=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[0.00] MASTER | INIT | INFO | 시스템 시계 시작, 포트 5000 연결 대기
[0.00] MASTER | INIT | SUCCESS | 고유 KV 작업 5,000개 생성 완료
[1.00] MASTER | NET | INFO | WORKER -> MASTER, 메시지=HELLO, 통신 지연=1.00초
[2.00] MASTER | NET | INFO | MASTER -> WORKER, 메시지=REJECT, 통신 지연=1.00초
[3.00] MASTER | NET | INFO | WORKER -> MASTER, 메시지=HELLO, 통신 지연=1.00초
[4.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=WELCOME, 통신 지연=1.00초
[4.00] MASTER | CONNECT | SUCCESS | 워커1 연결, 대기열 초기화 (0/10)
[5.00] MASTER | NET | INFO | WORKER -> MASTER, 메시지=HELLO, 통신 지연=1.00초
[6.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=WELCOME, 통신 지연=1.00초
[6.00] MASTER | CONNECT | SUCCESS | 워커4 연결, 대기열 초기화 (0/10)
[7.00] MASTER | NET | INFO | WORKER -> MASTER, 메시지=HELLO, 통신 지연=1.00초
[8.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=WELCOME, 통신 지연=1.00초
[8.00] MASTER | CONNECT | SUCCESS | 워커3 연결, 대기열 초기화 (0/10)
[9.00] MASTER | NET | INFO | WORKER -> MASTER, 메시지=HELLO, 통신 지연=1.00초
[10.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=WELCOME, 통신 지연=1.00초
[10.00] MASTER | CONNECT | SUCCESS | 워커2 연결, 대기열 초기화 (0/10)
[10.00] MASTER | INIT | SUCCESS | 워커 4개 연결 완료, 작업 배정 시작
[11.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[11.00] MASTER | DISTRIB | INFO | KV[0001] -> 워커1 배정, 대기열=1/10, 일반
[12.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[12.00] MASTER | DISTRIB | INFO | KV[0002] -> 워커3 배정, 대기열=1/10, 일반
[13.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[13.00] MASTER | DISTRIB | INFO | KV[0003] -> 워커2 배정, 대기열=1/10, 일반
[14.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[14.00] MASTER | DISTRIB | INFO | KV[0004] -> 워커4 배정, 대기열=1/10, 일반
[15.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[15.00] MASTER | DISTRIB | INFO | KV[0005] -> 워커1 배정, 대기열=2/10, 일반
[16.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[16.00] MASTER | DISTRIB | INFO | KV[0006] -> 워커4 배정, 대기열=2/10, 일반
[17.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[17.00] MASTER | DISTRIB | INFO | KV[0007] -> 워커2 배정, 대기열=2/10, 일반
[18.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[18.00] MASTER | DISTRIB | INFO | KV[0008] -> 워커3 배정, 대기열=2/10, 일반
[19.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[19.00] MASTER | DISTRIB | INFO | KV[0009] -> 워커1 배정, 대기열=3/10, 일반
[20.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[20.00] MASTER | DISTRIB | INFO | KV[0010] -> 워커2 배정, 대기열=3/10, 일반
[21.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[21.00] MASTER | DISTRIB | INFO | KV[0011] -> 워커3 배정, 대기열=3/10, 일반
[22.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[22.00] MASTER | DISTRIB | INFO | KV[0012] -> 워커4 배정, 대기열=3/10, 일반
[23.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[23.00] MASTER | DISTRIB | INFO | KV[0013] -> 워커1 배정, 대기열=4/10, 일반
[24.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[24.00] MASTER | DISTRIB | INFO | KV[0014] -> 워커3 배정, 대기열=4/10, 일반
[25.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[25.00] MASTER | DISTRIB | INFO | KV[0015] -> 워커2 배정, 대기열=4/10, 일반
[26.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[26.00] MASTER | DISTRIB | INFO | KV[0016] -> 워커4 배정, 대기열=4/10, 일반
[27.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
