=== Worker3.txt (Worker Node 3 Log) ===
============================================================
Worker3 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER3 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[8.00] WORKER3 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[12.00] WORKER3 | RECV | INFO | KV[0002] 일반 작업 수신, 대기열=1/10
[18.00] WORKER3 | RECV | INFO | KV[0008] 일반 작업 수신, 대기열=2/10
[21.00] WORKER3 | RECV | INFO | KV[0011] 일반 작업 수신, 대기열=3/10
[24.00] WORKER3 | RECV | INFO | KV[0014] 일반 작업 수신, 대기열=4/10
[30.00] WORKER3 | RECV | INFO | KV[0020] 일반 작업 수신, 대기열=5/10
[33.00] WORKER3 | RECV | INFO | KV[0023] 일반 작업 수신, 대기열=6/10
[36.00] WORKER3 | RECV | INFO | KV[0026] 일반 작업 수신, 대기열=7/10
[42.00] WORKER3 | RECV | INFO | KV[0032] 일반 작업 수신, 대기열=8/10
[42.00] WORKER3 | QUEUE | WARN | 대기열 70% 초과, 크기=8/10
[42.00] WORKER3 | LB | INFO | 예상 대기=16.00초, 조회ID=Q3-1, 최소 Queue 워커1(0/10)로 3건 이전 요청
[45.00] WORKER3 | RECV | INFO | KV[0035] 일반 작업 수신, 대기열=6/10
[48.00] WORKER3 | RECV | INFO | KV[0038] 일반 작업 수신, 대기열=7/10
[78.00] WORKER3 | RECV | INFO | KV[0059] 일반 작업 수신, 대기열=1/10
[79.00] WORKER3 | RECV | INFO | KV[0060] 일반 작업 수신, 대기열=1/10
[80.00] WORKER3 | RECV | INFO | KV[0061] 일반 작업 수신, 대기열=1/10
[81.00] WORKER3 | RECV | INFO | KV[0062] 일반 작업 수신, 대기열=1/10
[82.00] WORKER3 | RECV | INFO | KV[0063] 일반 작업 수신, 대기열=1/10
[83.00] WORKER3 | RECV | INFO | KV[0064] 일반 작업 수신, 대기열=1/10
[84.00] WORKER3 | RECV | INFO | KV[0065] 일반 작업 수신, 대기열=1/10
[85.00] WORKER3 | RECV | INFO | KV[0066] 일반 작업 수신, 대기열=1/10
[86.00] WORKER3 | RECV | INFO | KV[0067] 일반 작업 수신, 대기열=1/10
[316.32] WORKER3 | RECV | INFO | KV[0220] 일반 작업 수신, 대기열=1/10
[317.32] WORKER3 | RECV | INFO | KV[0221] 일반 작업 수신, 대기열=1/10
[318.32] WORKER3 | RECV | INFO | KV[0222] 일반 작업 수신, 대기열=1/10
[319.32] WORKER3 | RECV | INFO | KV[0223] 일반 작업 수신, 대기열=1/10
[320.32] WORKER3 | RECV | INFO | KV[0224] 일반 작업 수신, 대기열=1/10
[321.32] WORKER3 | RECV | INFO | KV[0225] 일반 작업 수신, 대기열=1/10
[322.32] WORKER3 | RECV | INFO | KV[0226] 일반 작업 수신, 대기열=1/10
